id,name,lat,lng,vicinity,kecamatan,kabupaten,rating,user_ratings_total,price,jenis_sepakbola,jenis_badminton,jenis_tenis,jenis_voli,jenis_futsal,jenis_basket,fasilitas_wifi,fasilitas_parkir_motor,fasilitas_parkir_mobil,fasilitas_wc,fasilitas_kantin,fasilitas_mushola
S737,Lapangan Ngawis,-7.9372647,110.6655736,"3M78+36W, Ngelo I, Ngawis, Kabupaten Gunung Kidul",Ngawis,Gunung Kidul,3.5,2,56000,1,0,0,0,0,0,0,1,1,1,0,0
S502,Lapangan Semboja,-7.9326102,110.6044769,"3J83+XQ5, Jl. Wonosari - Nglipar, Kajar I, Karangtengah, Kabupaten Gunung Kidul",Karangtengah,Gunung Kidul,4.1,65,48000,1,0,0,0,0,0,0,0,0,1,1,1
S649,Lapangan Sepakbola Grogol,-7.9362204,110.620773,"3J7C+G86, Grogol I, Bejiharjo, Kabupaten Gunung Kidul",Bejiharjo,Gunung Kidul,4.5,52,36000,1,0,0,0,0,0,0,0,0,0,0,0
S596,Demang Wonopawiro Field,-7.9400358,110.5955102,"3H5W+X6J, Jl. Ki Demang Wonopawiro, Ngerboh I, Ngrebah I, Piyaman, Kabupaten Gunung Kidul",Piyaman,Gunung Kidul,4.4,104,52000,1,0,0,0,0,0,0,0,1,1,1,0
V773,Lapangan Volly Siyono Kidul,-7.9469931,110.581944,"Jl. Jogja - Wonosari No.945, Siyono Kidul, Logandeng, Kabupaten Gunung Kidul",Logandeng,Gunung Kidul,4.2,29,53000,0,0,0,1,0,0,0,0,0,0,1,0
S108,Lapangan Desa Logandeng,-7.9335908,110.5758067,"3H8G+H87, Plumbon Lor, Logandeng, Kabupaten Gunung Kidul",Logandeng,Gunung Kidul,4.1,63,73000,1,0,0,0,0,0,1,1,0,1,0,1
S295,Lapangan Desa Bandung,-7.9253219,110.5628887,"Jl. Jogja - Wonosari No.8, Jambu Rejo, Bandung, Kabupaten Gunung Kidul",Bandung,Gunung Kidul,4.1,8,41000,1,0,0,0,0,0,0,0,0,1,0,1
S280,Lapangan Desa Dengok,-7.9529535,110.5284537,"2GWH+R98, Dengok V, Dengok, Kabupaten Gunung Kidul",Dengok,Gunung Kidul,4.4,16,65000,1,0,0,0,0,0,1,1,0,0,0,1
S915,Lapangan Ngawu,-7.9404117,110.5486936,"3G5X+RFP, Tumpak, Ngawu, Kabupaten Gunung Kidul",Ngawu,Gunung Kidul,4,84,53000,1,0,0,0,0,0,1,0,1,0,0,1
S830,Lapangan Ngleri,-7.9217531,110.5221149,"3GHC+7RX, Puntuk Wetan, Ngleri, Kabupaten Gunung Kidul",Ngleri,Gunung Kidul,4.1,49,40000,1,0,0,0,0,0,1,0,1,0,1,0
